id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie
51108168900001;511081689;1;;Rue Jacques de Vaucanson;51000;51108;Châlons-en-Champagne;;;798659.06;6875235.41;4.347595;48.969488;;;CHALONS EN CHAMPAGNE;RUE JACQUES DE VAUCANSON;commune;commune
51108169000001;511081690;1;;Rue Jacquesson;51000;51108;Châlons-en-Champagne;;;798437.58;6873500.58;4.344167;48.953924;;;CHALONS EN CHAMPAGNE;RUE JACQUESSON;commune;commune
51108173600001;511081736;1;;Rue Jean-Baptiste Armonville;51000;51108;Châlons-en-Champagne;;;799995.25;6875897.79;4.365999;48.975237;;;CHALONS EN CHAMPAGNE;RUE JEAN BAPTISTE ARMONVILLE;commune;commune
51108173700002;511081737;2;;Rue Jean-Baptiste Biot;51000;51108;Châlons-en-Champagne;;;798740.88;6872437.7;4.34806;48.944321;;;CHALONS EN CHAMPAGNE;RUE JEAN BAPTISTE BIOT;commune;commune
51108173800006;511081738;6;;Rue Jean-Baptiste Drouet;51000;51108;Châlons-en-Champagne;;;800003.29;6875982.91;4.366129;48.976001;;;CHALONS EN CHAMPAGNE;RUE JEAN BAPTISTE DROUET;commune;commune
51108173900001;511081739;1;;Rue Jean-Baptiste de Pinteville;51000;51108;Châlons-en-Champagne;;;799872.4;6876003.33;4.364346;48.976205;;;CHALONS EN CHAMPAGNE;RUE JEAN BAPTISTE DE PINTEVILLE;commune;commune
51108174800001;511081748;1;;Rue Jean Fragonard;51000;51108;Châlons-en-Champagne;;;801366.51;6871203.86;4.383604;48.932819;;;CHALONS EN CHAMPAGNE;RUE JEAN FRAGONARD;commune;commune
51108175000001;511081750;1;;Rue Jean-Henri Fabre;51000;51108;Châlons-en-Champagne;;;799661.77;6874902.26;4.36121;48.966338;;;CHALONS EN CHAMPAGNE;RUE JEAN HENRI FABRE;commune;commune
51108179100001;511081791;1;;Rue Jean-Paul Marat;51000;51108;Châlons-en-Champagne;;;799454.7;6876199.11;4.358687;48.97803;;;CHALONS EN CHAMPAGNE;RUE JEAN PAUL MARAT;commune;commune
51108179200001;511081792;1;;Rue Jean-Pierre Florian;51000;51108;Châlons-en-Champagne;;;800610.34;6873217.88;4.373763;48.951046;;;CHALONS EN CHAMPAGNE;RUE JEAN PIERRE FLORIAN;commune;commune
51108179400001;511081794;1;;Rue Jean-Sébastien Bach;51000;51108;Châlons-en-Champagne;;;800914.68;6874570.08;4.37824;48.963156;;;CHALONS EN CHAMPAGNE;RUE JEAN SEBASTIEN BACH;commune;commune
51108180000002;511081800;2;;Rue de Jéricho;51000;51108;Châlons-en-Champagne;;;800343.62;6873244.05;4.370128;48.951323;;;CHALONS EN CHAMPAGNE;RUE DE JERICHO;commune;commune
51108181000001;511081810;1;;Rue de Jessaint;51000;51108;Châlons-en-Champagne;;;800044.75;6873481.34;4.366104;48.953503;;;CHALONS EN CHAMPAGNE;RUE DE JESSAINT;commune;commune
51108177400001;511081774;1;;Rue Joseph Bochet de Colluel;51000;51108;Châlons-en-Champagne;;;800984.9;6871991.3;4.378584;48.939959;;;CHALONS EN CHAMPAGNE;RUE JOSEPH BOCHET DE COLLUEL;commune;commune
51108168000001;511081680;1;;Rue Joseph-Marie Jacquard;51000;51108;Châlons-en-Champagne;;;798785.02;6875367.8;4.349346;48.970659;;;CHALONS EN CHAMPAGNE;RUE JOSEPH MARIE JACQUARD;commune;commune
51108182000001;511081820;1;;Rue Joseph Servas;51000;51108;Châlons-en-Champagne;;;799957.35;6874058.18;4.365047;48.958703;;;CHALONS EN CHAMPAGNE;RUE JOSEPH SERVAS;commune;commune
51108184000001;511081840;1;;Rue de Juigné;51000;51108;Châlons-en-Champagne;;;799526.11;6873636.99;4.35906;48.954983;;;CHALONS EN CHAMPAGNE;RUE DE JUIGNE;commune;commune
51108187000005;511081870;5;;Rue Jules Roussel;51000;51108;Châlons-en-Champagne;;;800387.51;6874601.17;4.371049;48.963518;;;CHALONS EN CHAMPAGNE;RUE JULES ROUSSEL;commune;commune
51108188000001;511081880;1;;Rue Juliette Récamier;51000;51108;Châlons-en-Champagne;;;799521.32;6873732.23;4.359017;48.95584;;;CHALONS EN CHAMPAGNE;RUE JULIETTE RECAMIER;commune;commune
51108189000001;511081890;1;;Rue Just Berland;51000;51108;Châlons-en-Champagne;;;800140.57;6873433.95;4.367401;48.953062;;;CHALONS EN CHAMPAGNE;RUE JUST BERLAND;commune;commune
51108194000009;511081940;9;;Rue Lamairesse;51000;51108;Châlons-en-Champagne;;;800474.01;6874171.13;4.372128;48.959638;;;CHALONS EN CHAMPAGNE;RUE LAMAIRESSE;commune;commune
51108195000001;511081950;1;;Rue de Latouche;51000;51108;Châlons-en-Champagne;;;799923.41;6874068.6;4.364586;48.958802;;;CHALONS EN CHAMPAGNE;RUE DE LATOUCHE;commune;commune
51108196700001;511081967;1;;Rue Leconte de Lisle;51000;51108;Châlons-en-Champagne;;;801830.99;6871588.06;4.390035;48.9362;;;CHALONS EN CHAMPAGNE;RUE LECONTE DE LISLE;commune;commune
51108199500002;511081995;2;;Rue Léopold Frison;51000;51108;Châlons-en-Champagne;;;798082.17;6873894.38;4.339406;48.957519;;;CHALONS EN CHAMPAGNE;RUE LEOPOLD FRISON;commune;commune
51108033600001;511080336;1;;Rue du Lieutenant-Colonel Bohumil Vazac;51000;51108;Châlons-en-Champagne;;;799734.25;6874843.89;4.362186;48.965802;;;CHALONS EN CHAMPAGNE;RUE DU LT COLONEL BOHUMIL VAZAC;commune;commune
51108202000001;511082020;1;;Rue du Lieutenant Loyer;51000;51108;Châlons-en-Champagne;;;798833.81;6873485.76;4.349573;48.95373;;;CHALONS EN CHAMPAGNE;RUE DU LIEUTENANT LOYER;commune;commune
51108206000002;511082060;2;;Rue Louis Bablot;51000;51108;Châlons-en-Champagne;;;800575.21;6874344.73;4.373551;48.961183;;;CHALONS EN CHAMPAGNE;RUE LOUIS BABLOT;commune;commune
51108206500001;511082065;1;;Rue Louis Gay Lussac;51000;51108;Châlons-en-Champagne;;;798765.25;6872520.53;4.348412;48.945062;;;CHALONS EN CHAMPAGNE;RUE LOUIS GAY LUSSAC;commune;commune
51108208000001;511082080;1;;Rue Louis Laforest;51000;51108;Châlons-en-Champagne;;;800293.65;6872754.37;4.36933;48.946928;;;CHALONS EN CHAMPAGNE;RUE LOUIS LAFOREST;commune;commune
51108208200002;511082082;2;;Rue Louis Leprince Ringuet;51000;51108;Châlons-en-Champagne;;;802697.01;6872313.96;4.40203;48.942589;;;CHALONS EN CHAMPAGNE;RUE LOUIS LEPRINCE RINGUET;commune;commune
51108208400004;511082084;4;;Rue Louis Saint-Just;51000;51108;Châlons-en-Champagne;;;799425.04;6876101.62;4.358259;48.977158;;;CHALONS EN CHAMPAGNE;RUE LOUIS SAINT JUST;commune;commune
51108209000001;511082090;1;;Rue du Lycée;51000;51108;Châlons-en-Champagne;;;799862.28;6874020.06;4.36374;48.958375;;;CHALONS EN CHAMPAGNE;RUE DU LYCEE;commune;commune
